ID,Super.tot.corrected
1,0
2,4
3,0
4,0
5,0
6,3
7,3
8,0
9,0
10,0
11,0
12,0
13,0.5
14,4
15,0
16,5
17,5
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,2
35,0
36,0
37,0
38,0
39,0
40,4
41,0
42,0
43,0
44,0
45,0
46,43
47,0
48,0
49,0
50,0
51,3
52,3
53,2
54,1.5
55,0
56,0
57,16
58,13
59,0
60,0
61,0
62,4
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,44
72,10
73,20
74,0
75,3.5
76,0
77,0
78,7.5
79,0
80,0
81,0
82,0
83,0
84,1.7
85,0.4
86,0
87,0
88,0
89,0
90,24
91,10
92,0
93,5.5
94,2
95,0
96,0
97,4
98,3
99,0
100,0
101,4.5
102,5.5
103,2
104,0
105,25
106,0.5
107,4
108,13
109,3
110,30
111,6
112,3
113,0.8
114,0
115,17
116,210
117,8
118,4
119,2.75
120,5
121,0
122,10
123,2
124,0
125,1
126,6
127,1.5
128,5
129,2
130,1.5
131,4.5
132,1
133,46
134,0
135,5
136,18
137,0
138,0
139,2
140,6
141,0
142,15
143,3.5
144,2
145,0.5
146,5
147,2
148,8
149,9
150,2
151,2.5
152,10
153,48.5
154,10.5
155,0
156,4
157,1
158,42
159,0
160,0
161,0
162,0
163,0
164,1
165,3.5
166,16.5
167,0
168,1.5
169,26
170,10
171,0
172,0
173,0
174,0
175,9
176,0
177,0
178,0
179,0
180,2.5
181,20
182,0.5
183,10
184,2
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,11.5
193,2
194,0
195,0
196,0
197,2.5
198,4
199,8
200,0
201,0
202,0
203,0
204,5.5
205,0
206,0
207,2
208,0
209,0
210,4
211,7
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,8
220,121
221,0
222,3.5
223,0.5
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,6
242,0
243,0
244,2
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,36
255,0
256,0
257,0
258,41
259,0
260,0
261,0
262,3.5
263,0
264,0
265,0
266,0
267,3
268,0
269,6
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,6
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,4
293,0
294,0
295,0
296,0
297,0
298,5
299,2
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,11.5
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,6
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,5
351,0
352,0
353,0
354,1.5
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,15
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
